Date,Text_clean,Sentiment
2020-12-31,Largest PUT OI decreases BGCP CLF M ACB BAC APPS AMC CXO GOLD TJX BABA AMZN BA F WORK SQQQ MARA SFIX PK  trading learntotrade stocks stockstowatch daytrading scalptrading optionstrading swingtrading fintwit StockMarket money ,negative
2020-12-31, Very Nice Picks You invested in DIS and PK when they were down and enjoyed the ride Smart BambooTop4,positive
2020-12-30,Large Print PK Size 120235 Price 1729 Time 1830 Amount 207886315,positive
2020-12-30,V CEO To Announce Earnings to Exceed Expectations Share Price To RiseICNB DNKN WPZ LHO WRK PK USRM TV BGS SGMS AME FMSA CHGG,positive
2020-12-29,100 Stocks to watch in 2021LCA LEN LUV LVS LYFT LYV MBIO MFA MGM MRO NBL NCLH NEE NIO NLY NOVS NRZ NTDOY NWL NYMT OTIS PENN PINS PK PLAY PLUG PROG PRTY PSX RCL RTX RYBIF SAVE SBUX SCHW SPCE SPG SRC SSPK STKL T TRIP TRNE UAL UBER,positive
2020-12-29, PK at 625 1000 shares sold 500 shares 1790  holding for dividends to return  long EPR at 1950 may turn out even better,positive
2020-12-29,Rose Above Previous Days High today AMH WELL CHCT DAL CTXS SPLV ACA SWKS OFC SRC MAA WMT USRT JBGS COR HIW PK PDM MSI BKR  ,positive
2020-12-29,Tomrrows watchlist for NYSE NASDAQ between 10 and 20 JBLU KAR KIM LAC LXP M MAC MARA MIK MWK NOV NPA NWSA NYCB ORAN PBCT PBR PCPL PEB PK PLAB PSTX RF RIDEW RIOT ROOT RQI RVI SABR SBRA SOL STAY SVC TAK TGNA THBR THCB TRIT TTM UBS,positive
2020-12-29,Highest dividend yield  among reits realestate VNQ1  PARK HOTELS amp RESORT PK 20252  IRON MOUNTAIN INCORP IRM 8383  OMEGA HEALTHCARE INV OHI 724  SABRA HEALTH CARE RE SBRA 6765  SL GREEN REALTY CORP SLG 641,positive
2020-12-28,Daily Balloon Raindrop PupScan of my master watchlist courtesy of EBSB STZ CLDX PK EBSB TRIPChart scan amp create your trading plan Try it out for a 7day free trial currently 50 off,negative
2020-12-28,20 DMA Support today MRO AMWL PK SPYV ALDX TEN HMLP VNDA PCI AMP WPX EHTH INVH LBAI TNAV FAMI V DHT CL PINS  ,positive
2020-12-27,Recent PK technical alerts Bollinger Band Squeeze plus 5 more alerts ,positive
2020-12-27,Tomrrows watchlist for NYSE NASDAQ between 10 and 20 AG AMCR APLE APXT ATAC BFT BTWN BTWNU CLA DPG EGO FUV GHIV GOGO HPE IAU IBN IEA INSG IPOC IPOF ISBC IVZ LGFA MAC MARA MFC MWK NGA NLTX NPA NWS NWSA NYCB PBR PBRA PEB PK PRTS,negative
2020-12-26, PK,negative
2020-12-25,Lowest PS among reits realestate VNQ1  IRON MOUNTAIN INCORP IRM 2042  PARK HOTELS amp RESORT PK 2613  WEYERHAEUSER COMPANY WY 364  SL GREEN REALTY CORP SLG 3665  POTLATCHDELTIC CORPO PCH 373,negative
2020-12-24,PK updateSPY AMZN TSLA NCLH SAVE fintwit daytrading StocksToWatch ,negative
2020-12-23,pk acre,neutral
2020-12-23,pkff pk ipnff ip docrf docv grnv aap amzn mtrxv moneyrush hitlist ,negative
2020-12-22,PK flagging nicely hereSPY AMZN TSLA NCLH SAVE fintwit daytrading StocksToWatch ,positive
2020-12-22,PK was analyzed by 14 analysts The buy consensus is at 66 So analysts seem to be mildly confident about PK  ,positive
2020-12-21,Popular AAPL MVIS HCAC JNJ PTON ELYS OSUR CRDF CVGW AQB PK IART FN,positive
2020-12-21,Highest dividend yield  among reits realestate VNQ1  PARK HOTELS amp RESORT PK 20252  IRON MOUNTAIN INCORP IRM 8363  OMEGA HEALTHCARE INV OHI 7074  SABRA HEALTH CARE RE SBRA 6815  NATIONAL HEALTH INVE NHI 63,positive
2020-12-21,ipnff ip pk pkkff docrf docv mtrxv MONEYRUSH BREAKOUT GREENSIGNAL MONEYGAIN NOFEARBUY ,positive
2020-12-21,Best earnings growth rate  among reits realestate VNQ1  REXFORD INDUSTRIAL R REXR 9422  CUBESMART CUBE 4633  TERRENO REALTY CORPO TRNO 4174  INNOVATIVE INDUSTRIA IIPR 3815  PARK HOTELS amp RESORT PK 354,positive
2020-12-20,Worst 52w performing  reits realestate VNQ1  VORNADO REALTY TRUST VNO 4262  SIMON PROPERTY GROUP SPG 3883  THE HOWARD HUGHES CO HHC 3444  PARK HOTELS amp RESORT PK 3385  SL GREEN REALTY CORP SLG 337,negative
2020-12-20,PK ,negative
2020-12-18,20 DMA Support today CODI AAME ONB MKL MTB IP BTO PK DRQ BANF MDRX WBK BIL VGIT FEI GNRC TDG TTM VDE WSM  ,positive
2020-12-18,Lowest PS among reits realestate VNQ1  IRON MOUNTAIN INCORP IRM 2052  PARK HOTELS amp RESORT PK 2623  WEYERHAEUSER COMPANY WY 3674  HOST HOTELS amp RESORT HST 3755  POTLATCHDELTIC CORPO PCH 377,positive
2020-12-17,20 DMA Support today TSEM CPZ EGY PK RYI  ,positive
2020-12-17,  Thoughts on PK as reopeningtravel option for 2021 Still well below their franchisors who near ATH and have many great high end properties,positive
