Date,Text_clean,Sentiment
2020-12-31,Thursdays Top Flow in Financial sector Buy Flow amp Sell Flow CME GS MS PLD AXP SCHW PGR PSA COF AIG PRU WFC L SLM LNC PNC CIT AMP VNO MET stock stocks StockMarket Investment finance investing  ,positive
2020-12-31,This weeks Best Stocks by Sector report is live Basic materials and industrials remain strongHighest scorers this week CREE MAC AAXN CAR URI FFIN PRU GRA,positive
2020-12-31,PRU A great stockstobuySafe dividend Solid dividend growth  12 yrsStellar yield 568Consistent dividend Annual payout 440Payout ratio 4485What a SWAN Sleep Well At Night stock Im robbing the bank amp catching FIRE Dont call the cops,negative
2020-12-31,IWM and PRU  with TLT I know them Smallcaps are lying rn Stop taking retail money when you know youre just going to dump next year,negative
2020-12-31,PRU 620SRET 100GDRX 100ZM 40AI 100SQ 10CRWD 10IAC 0100ROOT 1000RIDE 10001000IACRIDEZMROOTAISQCRWD,positive
2020-12-31,ASX200 Markets WrapXJO SPI fell 9530 points or 143 to 658710 and crossing below its 20day moving averageTop 5 GainersGOR 392RMS 369PRU 277OBL 263ILU 237Top 5 LosersGUD 463FLT 394INA 391URW 377NUF 376AUS200 ,negative
2020-12-31,XJO 143 95pts 6587Large Cap LosersGUD 463FLT 394INA 391Large Cap GainersGOR 392RMS 369PRU 277ASX ausbiz tradingday ,negative
2020-12-31,What a year for gold  Record highs and a strong close at 1894 per ounce up 25 for the year Favourable conditions leading into 2021 create a great outlook for gold producers PRU WAF RVR ,positive
2020-12-31,Tomrrows watchlist for NYSE NASDAQ between 70 and 80 ADS AEM BBIO CDNA CLGX EDIT EFA FOUR HZNP MGA MU NET PRU PWR RCL RTX SI STT TAL,positive
2020-12-30,Large Print PRU Size 174847 Price 7745 Time 1830 Amount 1354190015,positive
2020-12-30,PRU all vibes ,positive
2020-12-30,Wednesdays Top Flow in Financial sector Buy Flow amp Sell Flow PGR JPM STT PRU GS C CME ZION PBCT BAC AXP SPG WFC MS PSA MCO ALL BXP BEN HIG stock stocks StockMarket Investment finance investing  ,positive
2020-12-30,I am shifting partly from crm and splk to financials I see them trading in their book value c pru wfc stor lncRebalancing my portfolio for 2021  Be more than happy 1000 gains from my nio and jmia  I do not hold jmia anymore,positive
2020-12-30,Today Top Flow in Financial sector Buy Flow amp Sell Flow JPM GS XL CME MMC MCO MS LNC HBAN STT BAC WFC C SPG AXP PSA PLD PRU CIT SLM stock stocks StockMarket Investment finance investing  ,positive
2020-12-30,PRU Max Pain is 7750 for maturity 01152021 maxpain options  ,positive
2020-12-30,PRU PRUax update BO and flaggin Lets go gold spot Send it ,positive
2020-12-29,Large Print PRU Size 158062 Price 7634 Time 1830 Amount 1206645308,positive
2020-12-29,  How is BYH at these levels5M Manganese deal Next MonthRecent Gold Processing AgreementLow Market Cap Cashed Up  Manganese Deal ComingOther Goldies I follow NAE DEG CHN ALK PRU BCN ,negative
2020-12-29,PRU Miners ride 2020 rollercoaster and come off in strong position   PRU ASX ASXNews,positive
2020-12-28,Large Print PRU Size 120894 Price 7691 Time 1830,positive
2020-12-28,Highest dividend yield  among financials bank insurance XLF1  NEW YORK COMMUNITY B NYCB 6512  TFS FINANCIAL CORPOR TFSL 6353  PRUDENTIAL FINANCIAL PRU 5734  PEOPLES UNITED FINA PBCT 5595  UMPQUA HOLDINGS CORP UMPQ 553,positive
2020-12-28,PRU volume shelf is not resistance ,positive
2020-12-28,Large Print PRU Size 195000 Price 7691 Time 1631,positive
2020-12-28,PRU volume shelf support  longer time frames may build a hammer ,negative
2020-12-28,PRU  ,positive
2020-12-28,PRU ,positive
2020-12-28,PRU is on my radar,positive
2020-12-28,2 HighYield Blue Chip Bargains Set To Soar In 2021 ENB  PRU,positive
2020-12-26, WBA    PRU   Epd   T   Ben,positive
2020-12-26,Lowest PB among financials bank insurance XLF1  BRIGHTHOUSE FINANCIA BHF 0172  UNUM GROUP UNM 0413  LINCOLN NATIONAL COR LNC 0454  PRUDENTIAL FINANCIAL PRU 0465  AMERICAN INTERNATION AIG 051,negative
2020-12-25, On the first day of Christmasmy true love sent me aidAn arbitrage in a pair trade  What are your favourite real pair trades must hedge some market amp endmarket riskTMUS TTSM INTCGM FCNQ XOMEQT COGEQH PRURGNX ADVMCCK BLLWZZZY KLMR,positive
2020-12-25,Lowest PS among financials bank insurance XLF1  BRIGHTHOUSE FINANCIA BHF 0362  UNUM GROUP UNM 0373  PRUDENTIAL FINANCIAL PRU 054  REINSURANCE GROUP OF RGA 0545  LINCOLN NATIONAL COR LNC 054,positive
2020-12-24,BAC weeklyWe are currently long XLF OZK WFC PRU ,positive
2020-12-24,Largest Notional Buy On Close Order Imbalances BABA KSU CRM BAC JPM NOC MCD DIS PG PRU ,positive
2020-12-24, PRU is at a 587 Yield Is that correct What websites or apps do you like to use for research on companies Thank you,positive
2020-12-24,This piece is called random horizontal line PRU,neutral
2020-12-24,Today Top Flow in Financial sector Buy Flow amp Sell Flow GS PNC CB TROW DFS BXP SCHW ALL FITB USB XL C WFC MS PLD MCO AVB PRU MET CMA stock stocks StockMarket Investment finance investing  ,positive
2020-12-24,PRU 65 min ,positive
2020-12-24,PRU  an excellent dividend growth stockcheck out the chart below  ,positive
2020-12-24,Bought myself some Dividend income today Added to current position5 MO Total 175 in yearly dividends 5 PRU Total 22 in yearly dividends A total of 395 added to current dividends and growingBuy yourself freedom One dollar at a time ,positive
2020-12-24,PRU in 197 Downtrend sliding for three consecutive days on December 22 2020 View odds for this and other indicators  PrudentialFinancial stockmarket stock technicalanalysis money trading investing daytrading news today ,negative
2020-12-24,PRU Dec18 775 Puts up 4048  Alerted at 210  on Nov 25 2020  155PM Peak after alert 295 on 20201130  Daily Progress  ,positive
2020-12-24,PRU Dec18 775 Puts up 5217  Alerted at 115  on Dec  7 2020  943AM Peak after alert 175 on 20201215  Daily Progress  ,positive
2020-12-24,Peak profit for the last 6 expired option alerts for PRU 7059  3111  278  37368  9844  60714     ,positive
2020-12-24,PRU Jan15 7750 Calls Option volume Up 86346   Volume 501 vs 52,positive
2020-12-24,PRU  OptionsTrading  Monthly performance of the algo based option alerts posted for PRU ,positive
2020-12-24,PRU  Last six months 44 option alerts peaked above 100 after they were triggered by the algo   ,positive
2020-12-24,PRU  View historical options performance for PRU  ,positive
