Date,Text_clean,Sentiment
2020-12-31,SF kom jag i kontakt med redan i slutet av 2017 tack vare  som jag jobbat med p SEB SEB r fr vrigt en riktigt bra skola dr man lr sig att bedma bolags affrs o finansiella risk ur ett kreditperspektiv vilket r nstan samma som ur ett aktieperspektiv,positive
2020-12-31,1x Tack sdip SF evo cara fnox embr Sinch fr det bsta ret ngonsin 192 Nstan 80 har varit viktat i de tre frsta bolagen dr jag har haft hgst conviction Hr kommer kort bakgrund till de tre frsta casen,positive
2020-12-31,TD BUY SF at 5050 Supp 5017 Resis 7740 R54  HiLo 93 T1Y 47 buy 25 PE 137 DIV 090 Stifel Fin stocks trading finance market  ,positive
2020-12-30,Top Gainers ao1144amEST IPDN BNGO SGOC GHSI NETE ACMR SF UBER BIDU  StayGreen BlackBoxStocks stocks stockstowatch trading DayTrading WallStreet StockMarket money ,neutral
2020-12-29,20 DMA Support today RVT SDC SF BDTX SYN EZA EQX VFF FFC RVI AP SPAK CLLS TTT GRMN SPWR PATK CD IBB TBF  ,positive
2020-12-28,Rose Above Previous Days High today EPM SF LBAY RYU MCBC TIP DGRS KAMN WINA  ,positive
2020-12-28,Trading Ideas SF  reversal to break out   FREE tradeofweek via   ,negative
2020-12-28,Klockren studs p MA50 i stillfront och ocks anledningen till att jag behll 50 av innehavet Tror fortfarande p gapstngning primrt sf ,positive
2020-12-27,Stocks to watch Dec 28 thru Dec 31 Lgih pcg stag kn cx frg ese myL kgc hznp agys aLb ori gbio gLob imab krys esrt nsp sf amp TURN 180 Capital Corp the catalyst  ,positive
2020-12-26,Tv aktier som jag person gillar och min syn frn TAperspektivSINCH  Fortsatt hgre toppampbottnar Positiv trendkanal Kparna testar 1248krSF  Efter stark rekyl uppt kan vi nu se paus p priset infr kraftsamling och ny utbrottfinanstwitter sinch stillfront ,positive
2020-12-26,team  What features make SF faster safer and scalable than other blockchain platforms What features does SF provide to its users,positive
2020-12-26,team  Do you think Ethereum is the best smart contract platform and compliments for building SF technology amp if so how,positive
2020-12-25,Videogames are a bigger industry than Sports and Movies combinedEMBRAC SFembracer embrac stillfront finanstwitter aktier brsen,positive
2020-12-25,Stifel Financial Corp Shares Approach 52Week High  Market Mover  SF stockmarket kwhenfinance,positive
2020-12-24,Ngon mer som funderar p faktumet att frvrven blivit markant dyrare fr embrac och sf Sistnmndas senaste var ca x2 s dyra som tidigare sett till multiplar Vad r dessa aktier egentligen vrda utan billiga frvrv som r krnan i deras affrsmodellerfinanstwitter,negative
2020-12-24,Noterar att CPPIB har tckt sin blankning i SF och drmed minskat sin position till under 05 Vldigt dlig affr som de tog grtstoppen i rtt fort kanske vi ser dem som investerare i nsta RE finanstwitter  ,negative
2020-12-23,Hr fr ven minis i Embracer SF och Evo hnga p nr det ska bete sig shr trkigt,negative
