Date,Text_clean,Sentiment
2020-12-31,SITCs in Downtrend Moving Average Convergence Divergence MACD Histogram crosses below signal line View odds for this and other indicators  SITECenters stockmarket stock technicalanalysis money trading investing daytrading news today ,negative
2020-12-31,FWSells SITC Otto Alexander 10ownerDirector of SITE Centers Corp sold 113100 shares on 20201229 ,negative
2020-12-30,Insider Alexander Otto reports selling 113100 shares of SITC for a total cost of 116330057 ,negative
2020-12-29,20 DMA Support today COST XOM ACC SITC ACST TFC VER DECK RWT AGRO OUT VTR STT CCL CUZ PEAK CPE TPC PSB NR  ,positive
2020-12-29,FWSells SITC Otto Alexander 10ownerDirector of SITE Centers Corp sold 130488 shares on 20201224 ,negative
2020-12-28,Insider Alexander Otto reports selling 130488 shares of SITC for a total cost of 133874393 ,negative
2020-12-23,Recent Insider selling 1218JAMFACAMGRNQBDCELASAILAMBAIPGPCRBPSPROGMEDEVTCPGNYSTMPGBLIPARAWIRGENSITCNTLASYXCENXBAHEVOPSITMCYTKRGNXLENCBZPRAHSPCEALNAQLYSVEEVSITECDLXFISBPMCLYFTMCOGFNMRNAAZOENV,negative
2020-12-22,Recent insider selling 1222JYACKEYSKREFKRPLADRLASRLMNDLULULUMNLWAYMDTMGTXMRTXNAIINARINTGRONEMORCLOSBCPCFPECKPGRPLMRPLRXPLXSPRDOPSNLQLYSQSRQTRXQTWORDNTRIDERLGTRNGRUNSAILSHSPSITCSNPSSPLPSTOKSYX,negative
2020-12-22,Insider Activity seen in  SITC Otto Alexander Director Sale TotalShares  36612 Transaction Price 1041 Transaction Value 380952 Last Quote 1004 ,positive
2020-12-22,Insider Alexander Otto reports selling 36612 shares of SITC for a total cost of 38095152 ,positive
2020-12-22,SITC in Downtrend RSI indicator exits overbought zone View odds for this and other indicators  SITECenters stockmarket stock technicalanalysis money trading investing daytrading news today ,negative
2020-12-21,Reversed from Down today NCR ETV CC COWNZ GOLF DCI RMBS SKYY VOXX ABB CI KRA ARKF AZEK AGNC IWO NUE GLO SITC JBHT  ,negative
2020-12-20,SITC in Downtrend RSI indicator exits overbought zone View odds for this and other indicators  SITECenters stockmarket stock technicalanalysis money trading investing daytrading news today ,negative
2020-12-20,SITC in Downtrend RSI indicator exits overbought zone View odds for this and other indicators  SITECenters stockmarket stock technicalanalysis money trading investing daytrading news today ,negative
2020-12-20,Recent insider selling 1218JAMFACAMGRNQBDCELASAILAMBAIPGPCRBPSPROGMEDEVTCPGNYSTMPGBLIPARAWIRGENSITCNTLASYXCENXBAHEVOPSITMCYTKRGNXLENCBZPRAHSPCEALNAQLYSVEEVSITECDLXFISBPMCLYFTMCOGFNMRNAAZOENV,negative
2020-12-19,FWSells SITC Otto Alexander 10ownerDirector of SITE Centers Corp sold 292186 shares on 20201217 ,negative
2020-12-19,SITC enters an Uptrend because Momentum Indicator exceeded the 0 level on December 14 2020 View odds for this and other indicators  SITECenters stockmarket stock technicalanalysis money trading investing daytrading news today ,positive
2020-12-18,SITC in Uptrend Stochastic indicator leaves oversold zone View odds for this and other indicators  SITECenters stockmarket stock technicalanalysis money trading investing daytrading news today ,positive
2020-12-17,20 DMA Support today RJF CTIC SITC SRT USAC UL UNVR FITB WLKP WSR WTS XHR GRMN EOSE IRWD BFAM TFSL NVDA CYRN CLDT  ,positive
2020-12-17,SITC in Uptrend Stochastic indicator peaks and leaves oversold zone View odds for this and other indicators  SITECenters stockmarket stock technicalanalysis money trading investing daytrading news today ,positive
2020-12-16,20 DMA Support today AGYS CGEN CEVA TA BHB FUND PNR SEAS TMO HT BNED SITC QRTEA VAC UNVR ABB VNDA INSP CAPE CBMG  ,positive
2020-12-16,SITCs in Downtrend Moving Average Convergence Divergence MACD Histogram just turned negative View odds for this and other indicators  SITECenters stockmarket stock technicalanalysis money trading investing daytrading news today ,negative
2020-12-15,FWSells SITC Otto Alexander 10ownerDirector of SITE Centers Corp sold 479314 shares on 20201215 ,negative
2020-12-15,SITC,negative
2020-12-14,SITC Piper maintains Neutral PT raised from 8 to 11,neutral
2020-12-11,4 PeregrineUpgrades for Thus 10 Dec 20SITC  Wells Fargo  Equal Weight  Overweight  115WRI  Wells Fargo  Equal Weight  Overweight  24XHR  Wells Fargo  Equal Weight  Overweight  18,positive
2020-12-11,RNGR B Riley Securities NeutralgtgtBuy 6 SC Barclays UnderweightgtgtEqual Weight 18gtgt23SITC Wells Fargo Equal WeightgtgtOverweight 8gtgt115STOR Wells Fargo Equal WeightgtgtOverweight 24gtgt36SYF Barclays Equal WeightgtgtOverweight 33gtgt47,neutral
2020-12-10,FWSells SITC Otto Alexander 10ownerDirector of SITE Centers Corp sold 848197 shares on 20201210 ,negative
2020-12-10,Wells Fargo Upgrades SITE Centers to Overweight Announces 115 Price TargetRelated Tickers SITCRead more at ,positive
2020-12-10,SITC Wells Fargo Upgrades to Overweight  PT 1150 ,positive
