Date,Text_clean,Sentiment
2020-12-31,Constellation Brands Inc Class A Shares Climb 02 Past Previous 52Week High  Market Mover  STZ stockmarket kwhenfinance,positive
2020-12-31,End of 2020 Portfolio SONO 141 TTWO 125FSLY 94TRIL 89ROKU 86TDOC 52STZ 48PYPL 40ATVI 40CHGG 39IRBT 38 DMYD 37CGC 27UBER 20 STIC 19 APPL 18 2020 Performance 1074,positive
2020-12-31,    I think that is because the tobacco companies are managed much more conservatively makes sense when the biggest existential risk to your biz is regulatory while STZ capital allocation is much more aggressive MO just waiting for legalization while STZ trying for a head start,neutral
2020-12-31,    Yea STZ seems to have a way better strategy so far and pursuing more aggressively Altrias execution has been a mess last few years,positive
2020-12-31,OutsideYear 2020 continued SLV SO SONO SPLK SPWR SPX SPY SQ STZ TJX TPX TQQQ TSCO TSN TWLO TWTR UBER UNH UPS URI VXX W WDAY WDC WING WIX WORK WW WYNN XBI XLF XLI XLNX XLP XLU XLV XLY Z ZEN ZG ZS,negative
2020-12-31,WEEDMAN This is true However I would still consider this a growth company In time it will reflect in the stock I still firmly believe STZ will fully acquire CGC within the next 12 years so thatll come with a large premium especially the longer they wait Just my opinion though,neutral
2020-12-31,STZ company profile Fundamental and Technical Analysis Score Update FA Score TA Score stocks stock StockMarket Investment investing invest investor investors   ,positive
2020-12-31,Earnings Out Next Week  Thursday Jan 7 Morning AYI ANGO BBBY CAG STZ HELE LW LNN REVG WBA Afternoon  ACCD DCT MU PSMT WDFC  Friday Jan 8   None,neutral
2020-12-31,cgc and apha  tlry likely to join forces later in 2021 according to sources  apha was told to merge with tlry and address their usa presence Hence the craft beer purchase Nd where we are todayAll at the advise of stz to keep their cgc investment viable ,positive
2020-12-31,Today Top Flow in consumer staples sector Buy Flow amp Sell Flow KMB EL PM STZ KO MO CVS PG KR BEAM MDLZ COST MNST HRL CLX TSN SJM MKC BFB TAP stock stocks StockMarket Investment investing consumers  ,positive
2020-12-31,harrison Dont think I have ever heard you comment on a large caps moving into the spaceany thoughts on bud stz mo pm others,negative
2020-12-31,3 VCE would include ACB ATVI BUD CGC CRON CURLF DEO DMYD DKNG GTII HARV MO MSOS PENN PM SAM STZ TAP TCEHY TRL TTOW VREO Add RBLX  Robinhood,positive
2020-12-31,STZ  ,negative
2020-12-31,STZ FinancialResults On December 31 ConstellationBrands STZ anticipated to publish third quarter FinancialResults on  ,positive
2020-12-31,STZ EarningsReport ConstellationBrands STZ projected on  at December 31 to release third quarter EarningsReport ,positive
2020-12-31,  STZ not on the radar,neutral
2020-12-31,Tomrrows watchlist for NYSE NASDAQ between 200 and 500 ADSK AMGN APD AVGO BIDU BRKB COST CRWD DXCM ECL GNRC GPN GS IWO KSU LIN LRCX MA MCO MDY MSTR NOC NSC PAYC PYPL RNG SEDG SOXL SPGI SPY SQ STZ SYK TDOC TTWO ULTA UNP V ZS,positive
2020-12-31,  What about STZ,positive
2020-12-31,A look at some of the largest stocks that report earnings next weekMicron MUConstellation STZWalgreens WBAConagra CAGRPMLamb Weston LWHelen of Troy HELEDuck Creek DCTMSC MSMAcuity AYIUniFirst UNFWD40 WDFCSimply Good Foods SMPLACCDBBBY,positive
2020-12-30,CGC 25 YTD to 25 13 since 1127MA5024Q221 YOYRev270M43PL225MMartha Stewart CBDGummiesSoftgelsOilsBioSteelexpanding distribution to STZ amp Manhattan BeerCGC sued GWPHunauthorized use of intellectual propertySold Canopy Rivers for 23M ,positive
2020-12-30,Constellation Brands Inc Class A Shares Near 52Week High  Market Mover  STZ stockmarket kwhenfinance,positive
