Date,Text_clean,Sentiment
2020-12-31,Popular HPP SYY MC,positive
2020-12-31,SYY Sysco Corporation email alerting serviceFrom our Stock News Alerts App,positive
2020-12-31,Long holds maybe foreverENPH SEDG MSFT TAN SYYMid term playsBE BEEM BLNK TTCF FSRShort term playsTHBR ATIF ACAM IPOF MTSL Stupid plays AIM ,negative
2020-12-31,Rose Above Previous Days High today BVN AUY ORLA CDE PVG EQX CYH SYY BTZ VTA HEQ MCR EMTY DXCM AIO CHIQ AVCO KL AVID DD  ,positive
2020-12-31,Top 15 Consumer Defensive stocks with market cap over 1 billion in 60 days CELH ABEV SMPL PFGC BRFS FIZZ CCEP FRPT DLTR JJSF MNST SYY KDP DEO IBA ,positive
2020-12-31,Top 15 Consumer Defensive stocks with market cap over 1 billion today CELH TAL SMPL NUS UL JNJ ADM CCEP LANC PFGC LW SYY KO FRPT COST ,positive
2020-12-31,Dividend Aristocrats not announcing a dividend hike in 2020 T CAT XOM LEG SYY,negative
2020-12-31,PBF To Receive Upfront Cash Payment Following Merger amp Acquisition Talks In Denver PR ComingPNTV SYY AU AEP MMM VMW IBRC SIG OPK DISH TAL TGNA,positive
2020-12-30,Large Print SYY Size 182406 Price 7329 Time 1830 Amount 1336853574,positive
2020-12-30,Large Print SYY Size 117806 Price 7329 Time 1717 Amount 863400174,positive
2020-12-30,Wednesdays Top Flow in consumer staples sector Buy Flow amp Sell Flow TSN KO BEAM PG CPB ADM WMT CAG MNST GIS EL COST CLX SYY HSY TAP KR CL MO HRL stock stocks StockMarket Investment investing consumers  ,positive
2020-12-30,Dividend Aristocrats not announcing a dividend hike in 2020 T CAT XOM LEG SYY,negative
2020-12-30,NSRGY Nestl debutsHarvest Gourmetplantbased food produced in China BYND KHC HAIN APRN CHEF SYY GEAHF DMLRY,negative
2020-12-30,Top 15 Consumer Defensive stocks with market cap over 1 billion in 60 days CELH ABEV BRFS SMPL PFGC FIZZ CCEP FRPT DLTR DEO JJSF KHC SYY IBA MNST ,positive
2020-12-29,Large Print SYY Size 188739 Price 7283 Time 1830 Amount 1374586137,positive
2020-12-29,Tuesdays Top Flow in consumer staples sector Buy Flow amp Sell Flow BEAM GIS COST HSY KO ADM SJM STZ CPB BFB PEP PG WMT MDLZ MO KMB CL SYY TAP PM stock stocks StockMarket Investment investing consumers  ,positive
2020-12-29,Rose Above Previous Days High today CBOE EWW SYY TAP GIB MUSA LBJ RLI DISCA CVBF VST BOIL CAF MEDS PKI AMN MGTX DISH CINF MEI  ,positive
