Date,Text_clean,Sentiment
2020-12-31, RICK LVMUY EVO SAM GAN TPB,positive
2020-12-31,Top picks for 2021bsm 668angi 1320tpb 4456mo 41cwh 2605Top weed pickssbvqf 165vreof 148ayrwf 2378cchwf 605,positive
2020-12-31,TPBs price moved above its 50day Moving Average on October 7 2020 View odds for this and other indicators  TurningPointBrands stockmarket stock technicalanalysis money trading investing daytrading news today ,positive
2020-12-29,No one really talks about TPB I am happy w it although its small amp unfortunately I did not buy it when I should have ,positive
2020-12-28,Stocks that traded to 52 week highs POWI PTC QNST R RCM REZI RILY RXN SAGE SCCO SCHN SCHW SCVL SEE SHYF SITE SIVB SMPL SNPS SPB STZ SYNA TECH TEL TJX TMUS TPB TPR TPX TREX TRMB TROX TRS TRU TSE UIS,positive
2020-12-28,New 52 Week High today DFHY JAZZ BBIO FCAU CWB TPB AQMS INDY BLUWU ENPH TREB MGK PCPL FFIV PTH NFE SGAM PSCI BURL KURE  ,negative
2020-12-28,New high 1224AIELFBNEDTPBARWRKYMRWLDNRDWRGHLDCFIIUALVRTHRMCAMTMCVECOOMIOSSEVRLFTRUPLXPORGOBMIINAQALRMIRDMTENBCSSEAEYEAAXNBGFVFBCINTZBOMNNVEEVCELAIRGCERSZSVRNSWALWOWNICEERIIANSSECFCDAY,positive
2020-12-24,US Stocks BioTech PGEN 23 Evehicle TSLA 17 Airline UAL 16 Firearms SWBI 22 Tobacco TPB 22 Power utility GNRC 43 Media GCI 37 Energy SWN 27 Air freight AIRT 856 Cybersecurity FEYE 73 EV Charging BLNK 158,positive
2020-12-24,New 52 Week High today IIIIU SMOG RMT SOYB BATT RADA RNG SLYG SIF GNOM WOW BLDP BMI NBB ROKU AEFC TPB STIP GRX ALTR  ,negative
2020-12-24,CigGoliath Phillip Morris Wants Out of the Tobacco Business  PM MO BTI VGR CRON TLRY GRWG ACB CGC MJ VGR TPB VIX SPY TSLA CCL KMX PAYX NLOK ENPH MRNA PFE PTON DASH ABNB BA SNAP MSFT AAPL PYPL SQ HD WMT ,negative
