Date,Text_clean,Sentiment
2020-12-31,Twothirds of telehealth transactions were from repeat shoppersMore data DataScience MachineLearning AI IoT Pharmacy Health Consumer Stocks WBA CVS CGC UA BJ HD ET HOG DKNG RAD PINS UBER USO GLD UA MRO CHWY BYND EXAS ,positive
2020-12-31,YOU UK UK YO U I AM LAKE GAN ADMs DM DDI idd UA DI DDI REE RE ENG ENG EN EN INFO INFO SING YYOOUU GREENs BLUEY SULTAN  net net DAM BOOK BANK BANKs MEN SultanOmann OMAN OMAN FREE TO SULTAN  ADMS DEC NOV TwiT  31  12  2020 ,neutral
2020-12-31,Job listings were down in 88 of states in NovemberMore analysis AlternativeData DataScience MachineLearning ArtificialIntelligence DataAnalytics BigData Jobs Unemployment RHI RANJF KELYA AHEXY AMD GLD USO UA CCL RH MRNA DKNG TM ,negative
2020-12-31, UA NKE ADDYY LULU Master P on possible Reebok deal Its time for us to get a seat at the table  ,positive
2020-12-31,Mortgage rates have hit record lows in 2020More analysis DataScience MachineLearning AI IoT Housing stock RMBS CMBS EQC WFC HD LOW LEN USO KSS UA GS RH HD FB VER NLSN LLY JKS AMKR JPM MS ,negative
2020-12-31,    They are the Oldsmobile of the apparal industryUA all the way performance,positive
2020-12-31,  Final Trades  Cadence Design cdns Keysight Tech keys JMIA Tech jmia Under Armour ua   Pinduoduo pdd ,positive
2020-12-31,Top 10 Momentum stocks based on some Amibroker analysis for trending stocks TPR IVZ UA DFS FCX PAYC ALB MU OKE SIVB ,positive
2020-12-31,Top 15 Consumer Cyclical stocks with market cap over 1 billion today BLNK VIPS MCRI MIK CYRX TPR MMYT UAA IMAX TSE RCL UA OI SLB PLNT ,positive
2020-12-31,Under Armour  UA QUOTEUA was UP  on Wed Dec 30Closed at 1508 USD for a 294 gain from previous close   ANALYSISUnder Armour should be nationalized  ,positive
2020-12-30,Have absolutely no clue what   are talking about If you want to own a piece of the sports apparelshoe market just go buy NKE ADDYY UA UAA on open market What is stopping you from buying shares right now ,negative
2020-12-30,Halftime Report Final Trades Pinduoduo Under Armour And MoreRelated Tickers BABA CDNS JMIA KEYS PDD UARead more at ,negative
2020-12-30,Rose Above Previous Days High today AMNB SCHQ NEA JHMU NGACU UA FOVL GOVT NICK JKI DWEQ PXSAP TDTT PRAA NML MTBC RING DBLV BNDC ACER  ,positive
2020-12-30,ON a personal note I buy product from UnderArmour because it provides great clothing for every day livingon a professional note I bought UA Stock todayIt just makes sense especially at the current priceStocks NYSE Retailers OnlineSales ,positive
2020-12-30,CNBCs Halftime Report Final Trades Pinduoduo Under Armour Jumia Keysight Cadence DesignRelated Tickers CDNS JMIA KEYS PDD UARead more at ,positive
2020-12-30,  best final trades JMIA  UA    Link       ,positive
2020-12-30,Adding to BFT FUSE GHIV IPOD IPOE especially IPOF BTWN UA INSG WPF for 2021 core holdings All excellent opportunities to enter now IMHO To each their own Good luck to everyone,positive
2020-12-30,UA Dec11 15 Calls up 6667  Alerted at 042  on Dec  3 2020 1249PM Peak after alert 070 on 20201209  Daily Progress  ,positive
2020-12-30,UA Dec18 15 Calls up 3846  Alerted at 065  on Dec  3 2020 1250PM Peak after alert 090 on 20201209  Daily Progress  ,positive
2020-12-30,Peak profit for the last 6 expired option alerts for UA 1818  1667  3846  2373  9091  23778     ,positive
2020-12-30,UA  OptionsTrading  Monthly performance of the algo based option alerts posted for UA ,positive
2020-12-30,UA  Last six months 24 option alerts peaked above 100 after they were triggered by the algo   ,positive
2020-12-30,UA  View historical options performance for UA  ,positive
2020-12-30,Cristovam Essa perseguio contra o presidente se no for doentia s pode ser que a ua mamata acabou Abtinncia que e chama,negative
2020-12-30,UA open interest for maturity 12312020 High put1500 High call1500 PutCallRatio040 maxpain options  ,negative
2020-12-29,Hardware stores have become a favorite destination during the COVID19 pandemicMore data DataScience ArtificialIntelligence MachineLearning Rent Census OPEC PPP HD LOW TJX TPX HYG XLY ETH COST V DG ESG GLD USO SHAK UA WMT BUD ,positive
2020-12-29,On our Top 50 Bullish List today CAAS TTCF ELYS FLY ZDGE UA EVGN CTRN JOUT WETF  ,negative
2020-12-29,Most job openings in the US rose 36 in AugustMore data AlternativeData DataScience MachineLearning ArtificialIntelligence DataAnalytics BigData Jobs Unemployment RHI RANJF KELYA AHEXY AMD GLD USO UA CCL RH MRNA DKNG TM CSX ,negative
2020-12-29,UA pattern,positive
2020-12-29, e a pandemia bem enato da ua parte,negative
2020-12-29,Home workout industry gains ground amid stayathome drives positive outlook PTON LULU NLS CLUB UA ,positive
2020-12-29,Home workouts industry gain ground amid stayathome drives positive 2021 outlook PTON LULU NLS CLUB UA ,positive
2020-12-29,Home workouts industry gain ground amid stayathome drives positive outlook PTON LULU NLS CLUB UA ,positive
2020-12-29,Quarterly Earnings Insights Q2 2020 BBY INTU DKS ULTA ADSK CRM More data AlternativeData MachineLearning ArtificialIntelligence Shopping Robotics XBOX Gamers USPS Stocks NOK HD WMT GS AMZN KR LI SRNE USO UA GLD FB BJ BUD ,negative
2020-12-29,patel83 Its a bit large for an acquisition but maybe My entry wasnt timed as well as UA but its smaller sized so I can add The street is somewhat split Numbers should be decent this quarter Sustainable rally likely a show me story in terms of a return to growth though,positive
2020-12-29,UA TWTR and SFM look bullso do metals,positive
2020-12-29,Top 15 Consumer Cyclical stocks with market cap over 1 billion in 60 days BLNK CPRI TSE TPR PLAY VC TUP SNBR MMYT VIPS WYNN BKE UAA UA IMAX ,positive
2020-12-29,patel83 Yeah I own it at 61 Position is about halfsized relative to UA Remdesivir s should be good but shortlived Thesis is defensible and strong cash flows in legacy businesses  belief that oncology will become a significant source of growth,positive
2020-12-29, Im surprised that this is so under appreciated at least as reflected in the stock price of GILD  The company is at a 7yr low Your conviction on UA was impressive Are you putting skin in the game on this too,negative
2020-12-28,UA somebody just loaded a few shares ,positive
2020-12-28,Twothirds of telehealth transactions were from repeat shoppersMore data DataScience MachineLearning AI IoT Pharmacy Health Consumer Stocks WBA CVS CGC UA BJ HD ET HOG DKNG RAD PINS UBER USO GLD UA MRO CHWY BYND EXAS ,positive
2020-12-28,Large Print UA Size 128210 Price 1496 Time 1725,positive
2020-12-28,Large Print UA Size 111980 Price 1496 Time 1600,positive
2020-12-28,Job listings were down in 88 of states in NovemberAll the data AlternativeData DataScience MachineLearning ArtificialIntelligence DataAnalytics BigData Jobs Unemployment RHI RANJF KELYA AHEXY AMD GLD USO UA CCL RH MRNA DKNG TM ,negative
2020-12-28,Overall consumer spending in October versus the same month in 2019 is up 14 percent across all sectorsMore data DataScience MachineLearning AI COVID19 coronavirus jobs PositiveVibes Stocks RHI TGT RH WMT TM MA GLD GS UA MCD USO ,positive
2020-12-28, UA tareaSTA Triple techo y Bandern descendente o Tringulo Se ve bien Juan Carlos ,positive
2020-12-28,LULU effectively converts traffic into salesMore data DataScience MachineLearning AI COVID19 Health training bodybuilding stocks PF PTON NKE LULU UA FSLY SNAP FIT USO GLD NIO DKNG SPCE CLUB ,positive
2020-12-28,20 DMA Support today ENTG MYGN KE NIO PCGU APD DKNG AOS INSP VNQI HLX OVV ISBC UA MGY TRGP SPXX DXPE LKQ PASG  ,positive
2020-12-28,ua kujun 1d support  If it holds new aths,positive
2020-12-28, lendo nessa frequncia o indivduo passa a falar apenas de assuntos bblicos o que acaba convence aos demais de que se  pastor E A consegue quando se  despudorado extorquir destes incautos altas somas a ttulo de dzimo eis as mudanas significativas em UAVIDA,positive
2020-12-28,AAL   CAKE  AAL SPG RCL DRI UA BBBY GME AMC PLAY AAPL DKNG AMZN NOK F GE SKT SEAS GPRO GE M ZNGA GLUU BYND MSFT SIRI RUN HTZ CCL SIX SHAK ACB CRON GRPN FB BAC DIS TSLA SNAP DLTR RAD LYFT,negative
2020-12-28,O capitalismo continua no poder s que est morto Mas mesmo morto continua na ua sanha maquiavlica vai se arrastando e destruindo vidas,negative
