Date,Text_clean,Sentiment
2020-12-31,Estn en el grfico pero no con textoINGR 062AD 050KO 043GNL 043BIP 040MCD 034VTR 031CL 027UPS 026UGI 022NHI 022O 019OPI 011,neutral
2020-12-31,UGI has a high Dividend Rating which makes it a good candidate for Dividend Investing ,positive
2020-12-31,UGI Snaps Up Mountaineer Gas Company For 540M to Strengthen Natural Gas Business  markets trading stocks UGI,positive
2020-12-31,UGI UGI to Acquire Mountaineer Gas Company ,positive
2020-12-30,UGI UGI Corp to acquire Mountaineer Gas the largest gas local distribution company in West Virginia for 540 mln ,positive
2020-12-30,UGI Corp sneaks in a little endofyear gas utility MampA The Pennsylvania utility operator has agreed to by WVs Mountaineer Gas Co for 540M UGI his focusing on growing its midstream amp utility business and recently said it aims to be a leader in RNG  ,positive
2020-12-30,UGI to acquire West Virginia gas distribution company in 540M deal UGI ,positive
2020-12-30,UGI  UGI to acquire West Virginia gas distribution company in 540M deal ,positive
2020-12-30,Popular FGF AIG SPG DVN AINC AZPN GOLD VRS GH MIDD SSSS UGI WPX NLS MX,positive
2020-12-30,UGI UGI Corporation  8K Current report filing SEC FilingFrom our Stock News Alerts App,positive
2020-12-30,UGI to Acquire Mountaineer Gas Company UGI ,positive
2020-12-30,UGI  UGI files form 8K  Regulation FD Disclosure Financial Statements and Exhibits   8K ,positive
2020-12-30,FORM 8K PressNews Current Report recently SEC filed  UGI UGI CORP PA  ,positive
2020-12-30,UGI UGI to Acquire Mountaineer Gas Company ,positive
2020-12-30,UGI UGI Corporation  UGI to Acquire Mountaineer Gas CompanyFrom our Stock News Alerts App,positive
2020-12-30,2019 I started consolidating my shitty positions APU 91729 PBPB 83780 RNN 2818 and UGI 5390 A lot of those were rookie mistakes and investments I didnt know how to read charts and bought on hype and sold on fear But that all changed investing investors,negative
2020-12-29,UGI showing up in our best Dividend Stock selection ,positive
2020-12-29,TROW UGI and PG showing up in our best Dividend Stock selection ,positive
2020-12-29,UGI  UGI Corp A Utility Company With A Twist That Can Supplement Your Dividend Growth Portfolio  business finance markets,positive
2020-12-26,LEAS CEO To Be Featured On CNNMoney Segment Next Week Gaining Extensive ExposureIMMU BRO APO FNF MKSI MITL VIV UGI ANTM AVB PTC MWA SEAS,positive
2020-12-25, Long CAH TROW CVX UGI y NNN,positive
2020-12-25,Compaas US 29  30  32  33 aos consecutivos aumentando el dividendo Cardinal Health CAH 33T Rowe Price TROW  33Chevron CVX  321st Source SRCE  32UGI UGI  32Erie Indemnity ERIE  30National Retail Props  NNN  30Jack Henry amp Assoc JKHY 29,positive
2020-12-23,SQ SYNA TSLA TTD TXRH UGI W WDAY ZS View the full list of newsmomentum plays on watch at  No bias  positionFind me at   33 ,neutral
2020-12-21,Scan results  MACD Bearish Centerline Cross today DISH FIS ADC DADA ATO SRE CTAS CLI COLL BDTX LHX BPYU BHF PLAB MSI CUB ESS UGI VNO ANTM  ,neutral
2020-12-21,Oversold CCI NOW SE TTD KKR TSN CQP AKAM CZR LITE UGI HSIC OSTK OI NEM CNC ROL KL TEVA NVAX FLO SFM CENT IAG TRILOverbought KOD IOVA KRTX RCKT HRTX GLLMomentum MS ROKU PTON APPN DNLI FSLR BBIO TGTX PACB NTLA RPAY EXAS GH TAN,negative
2020-12-20,5 Utilities Trading With Low PriceEarnings Ratios UGI SBS ELP KEN CREG Utility PriceEarnings  ,negative
2020-12-18,UGI UGI Corporation  DEF 14A Proxy Statement definitive SEC FilingFrom our Stock News Alerts App,positive
2020-12-18,UGI UGI Corporation  DEFA14A Additional Proxy Soliciting Materials definitive SEC FilingFrom our Stock News Alerts App,positive
2020-12-18,UGI  UGI files form DEF 14A ,positive
2020-12-18,Compaas US  293032 aos consecutivos aumentando el dividendoChevron CVX    321st Source SRCE    32UGI UGI    32National Retail Props  NNN    30Erie Indemnity ERIE    29Jack Henry amp Assoc JKHY  29,positive
2020-12-18,Tomrrows watchlist for NYSE NASDAQ between 30 and 40 ATUS AZEK BLNK BSX BWA CAG CARR COLD CRSR ELAN EWZ FUBO GDX KBH LB MP NJR NRG PAAS PEAK PFE PLUG RDSB SCPS TWOU UDR UGI VIAC VRM,negative
2020-12-17,UGI UGI Corporation  4 Statement of Changes in Beneficial Ownership SEC FilingFrom our Stock News Alerts App,positive
2020-12-17,FWSells UGI SCHLANGER MARVIN O Director of UGI CORP PA sold 12750 shares on 20201216 ,negative
2020-12-16,20 DMA Support today SOAC TBK DIAX TDS REG BLDR EGP AUTO SSD AZRE JBGS UGI CTIC BIV UMBF MOV NOA BLRX CVBF MUC  ,positive
2020-12-16,Tomrrows watchlist for NYSE NASDAQ between 30 and 40 AMH ARRY AY AZEK BSX CAG COLD CUBE CWH DRE ELAN EWZ GLW LI NJR STAG T TCOM UGI VIAC VNT VRM,negative
2020-12-15,50 DMA Support today AIKI CUTR CREG OSMT AMK WLTW MRK HNI DEA SIFY SUI VRTX UGI TAST ENR DOC EXC OCC KPTI CVET  ,positive
2020-12-14,50 DMA Support today UGI TBF  ,positive
2020-12-14,UGI Natural Gas Companies Join ONE Future Coalition UGI ,positive
2020-12-14,UGI UGI Natural Gas Companies Join ONE Future Coalition ,positive
2020-12-14,UGI UGI Corporation  UGI Natural Gas Companies Join ONE Future CoalitionFrom our Stock News Alerts App,positive
2020-12-11,Scan results  Stochastic Buy Signal today RIDE BKH CCI NI PODD JD LMT RSG GBT WM ABT AWK HAS ETR BMY KMB SJI UGI LHX TTEK  ,positive
2020-12-11,Ex Div on Monday Last Part 3TECK 04TMO 22TROW  09UGI   033UNIT  015VIAC  024VLY   011VRSK  027WH    008WOR   025WRB   012WWE   012WYND 3ETF amounts are estimates,negative
2020-12-11,BIG TROW and UGI showing up in our best Dividend Stock selection ,positive
2020-12-10,UGI UGI Corporation  4 Statement of Changes in Beneficial Ownership SEC FilingFrom our Stock News Alerts App,positive
2020-12-10,UGI  UGI Corporation UGI Investor Presentation  Slideshow  stocks economy investing,positive
2020-12-10,CBDD CEO To Be Featured On CNNMoney Segment Next Week Gaining Extensive ExposureIMMU BRO APO FNF MKSI MITL VIV UGI ANTM AVB PTC MWA SEAS,positive
2020-12-08,UGI FAF and GRMN showing up in our best Dividend Stock selection ,positive
2020-12-07,STOCK ALERT Shareholder Rights Firm Labaton Sucharow Is Investigating Potential Claims on Behalf of Former AmeriGas Partners LP Shareholders in Connection with UGI  UGI APU ,negative
2020-12-07,UGI UGI Corporation  8K Current report filing SEC FilingFrom our Stock News Alerts App,positive
2020-12-07,FORM 8K PressNews Current Report recently SEC filed  UGI UGI CORP PA  ,positive
2020-12-07,Sold TSLABRKBUGIIf you want to Profit as simply in the StockMarket as we have since 1997Check out the link in our pinned tweet,positive
2020-12-07,TROW UGI and PG have a high Dividend Rating which makes it a good candidate for Dividend Investing ,positive
2020-12-07,New Form 8K PressNews Current Report entry filed by  UGI UGI CORP PA  ,positive
2020-12-07,UGI UGI Corporation  8K Current report filing SEC FilingFrom our Stock News Alerts App,positive
2020-12-05, This stock trading software analyzes MILLIONS of trades while you sleep to find the best trade setupsAutoTrading via  HollyAI AutoTrading StocksNVDA BILI LB KEYS SONO JACK SCVL CPRT UGI ZTO ,negative
2020-12-04, DGI 01 I think that UGI has a great disccount at its current price,positive
2020-12-03,How to Trade Why Price Matters Most for Ugi Corp UGI Investors Now  Click for Details ,positive
2020-12-03,Not All Dividends Are the Same Even When Their Yield Is Similar MDU UGI ,positive
2020-12-03,Rose Above Previous Days High today CDAY AVTR FLS NEE SIG WAT FOUR HL CARR PGTI CX GOLD CLI GDX NEM AEM SILJ PANW UGI IAG  ,positive
2020-12-02,Scan results  Hammer Candlestick today SYNH CBD ARCE ESTC ZUO VNET ETR GMS VRNS CAL CBSH PNR UGI CSII BIP LMND TKR API COLB CDAY  ,positive
2020-12-02,20 DMA Support today UGI ITRG MSFT CIT CLW TRX BBCP LAC  ,positive
2020-12-01,20 DMA Support today KRO TRHC PBH SPNS IT KSU UGI MNOV REAL TVTX ASG EBAYL BLD FST BAK SUSB BCPC PRDO MBII SJR  ,positive
