Date,Text_clean,Sentiment
2020-12-31,Former Viacom shareholders can sue Shari Redstone over ViacomCBS merger   viac cmcsa dis nflx aapl t sne roku amzn disca lgf twtr fox fb goog snap stx mgm quibi prime hulu pluto tubi hbo fb baba bidu iq twtr fubo ,negative
2020-12-31,No more hiding behind  members  Plus to Hike Prices of UFC PayPerView Events Annual Subscription in 2021  CMCSA CHTR FOXA DIS DISCA T GOOGL AAPL AMZN FB NFLX SBGI VIAC MSFT ,positive
2020-12-31,Most active stocks in todays afterhours tradingMGMApple AAPLNielsen NLSNLiberty FWONKMicrosoft MSFTWells WFCFidelity FNFPfizer PFEATampT TL Brands LBLumen LUMNZillow ZComcast CMCSAViacomCBS VIACGrubhub GRUBIntel INTCKroger KRFord FHFC,positive
2020-12-31,Absolutely awesome conversation today with  We covered so much regarding the world of finance We discussed VIAC ELY BTC PENN NVTA MSGS FSLY TDOC and so much more Here is the link to the whole discussion ,positive
2020-12-31,kotecha BA CRWD TTD PENN VIAC FDX FB CRLBF QCOM RVLV Little over half my holdings ,negative
2020-12-31,Large Print VIAC Size 522812 Price 3726 Time 1600 Amount 1947997512,positive
2020-12-31,In Stephen Guilfoyles yearfinal 2020 note  considers Streaming Entertainment cordcutting the evolution of the services amp the pandemics effect Which names qualify as a SargeFave AMZN AMC DIS AAPL T VIAC LGFA DISCA  via ,negative
2020-12-31,How SNE Sony Is Fueling The Computer Vision Boom  xperia1II  ZM AAPL MSFT MSGE GE RBC DMLRY ARGGY AML EWG zeiss EWL PCRFY FTSSF IBM QCOM INTC HIMX VIAC ZM PCRFY EWJ EWG SOLO TM NKLA RACE SSNLF NOK BB ,positive
2020-12-31,  Check out rycey  reminds me of viac in 2020,positive
2020-12-31,Large Print VIAC Size 150000 Price 3721 Time 1401 Amount 558150000,positive
2020-12-31, Firestone just spitballing but doescan NFLX buy VIAC ,negative
2020-12-31,It Was a Fall Season to Forget for Broadcast TV Networks   viac cmcsa dis nflx aapl t sne roku amzn disca lgf twtr fox fb goog snap stx mgm quibi prime hulu pluto tubi hbo fb baba bidu iq twtr fubo ,negative
2020-12-31,Glenview Capitals Larry Robbins reveals top 10 picks for 2021 VIAC DXC THC HOLX LH ,positive
2020-12-31,Options Flow Stream Update AAPL TSLA BA DIS VIAC QS SPY QQQ RUT SPX OptionsTrading OptionsFlow optionstrade optiontrading stock stocks StockMarket Investment investing invest investor investors UOA  ,positive
