Date,Text_clean,Sentiment
2020-12-31,well these are at 062mid now  ,positive
2020-12-31,WELL in Downtrend Stochastic indicator sits in oversold zone for 5 days View odds for this and other indicators  Welltower stockmarket stock technicalanalysis money trading investing daytrading news today ,negative
2020-12-31,well was a great growth story in 2020 and things only look better for 2021 Glad to be a part of it and going forward,positive
2020-12-31,well weeklyA close above 6354 today should setup 6566 675 next week115 675c at 042mid right now for lotto ,positive
2020-12-31, Provides 2020 Corporate Overview and 2021 Outlook  SHG SHGFF  PradWELL WLYYF DOCRF DOC TDOC AMWL LVGO healthcare USA telemedicine  ,positive
2020-12-31,My top ideas for 2021 no exact timeframesBB Blackberry  BABA Alibaba  IQ iQiYi  WELL WELL Health  EEM Emerging Market ETF  HARV Harvest HealthWill addadjust to this list as we move forward,positive
2020-12-31,MCI Onehealth Technologies files for 30M raise in IPO on TSXWELL  DOC DOCRF  NPTH  Ehealth DigitalHealth Telehealth,positive
2020-12-31,Highest sales in billions among reits realestate VNQ1  AMERICAN TOWER CORPO AMT 7842  WEYERHAEUSER COMPANY WY 7023  EQUINIX INC REIT EQIX 5854  CROWN CASTLE INTERNA CCI 5775  WELLTOWER INC WELL 473,positive
2020-12-31,well health holding 8 dollar mark which is nice this is a nice readoff to India goes well ,positive
2020-12-31,Although the technical rating is only medium WELL does present a nice setup opportunity  ,positive
2020-12-31,Tomrrows watchlist for NYSE NASDAQ between 60 and 70 ADC BMY FTV IEFA IEMG LIT LNG MS O TJX WELL,positive
2020-12-31,Tomrrows watchlist for TSX TSXV between 2 and 10 PYR QST RECO SBB SCL SKE SVM TA TH TOG USA VII WCP WELL WPRT XEG YRI,positive
2020-12-31,RF CEO Will Be Confirming A Forward Split To Begin As Early As This WeekAPOpB AEXE TECK PCAR CIEN SRE STLD FOLD FHN PEG SNBR WELL BDN FIT,positive
2020-12-30,Large Print WELL Size 194369 Price 638 Time 1830 Amount 1240074220,positive
2020-12-30,WELL Delta expiration 01152021 maxpain options  ,positive
2020-12-30, man23 that means you should invest CRBK whose full SaaS business model is much more profitable than DOC WELL and other likewise telehealths including SHG,positive
2020-12-30, Announces Closing of Tennessee Clinic Acquisition  SHG SHGFF congrats Prad telehealth healthcare USA TDOC AMWL LVGO DOC DOCRF WELL WLYYF MampA  ,positive
2020-12-30,Welltower  WELL QUOTEWELL was UP  on Tue Dec 29Closed at 6318 USD for a 033 gain from previous close   ANALYSISWelltower should be nationalized  ,positive
2020-12-30,puru worth your valuable time WELLTO WELL,positive
2020-12-30, is one of the greatest leaders I have ever worked with and learned from  TSX WELL a company focused on consolidating and modernizing clinical and digital assets within the healthcare sector WELL ,positive
2020-12-29,Large Print WELL Size 137709 Price 6318 Time 1830 Amount 870045462,positive
2020-12-29,SHG SHGFF   DOC DOCRF WELL WLYYF AMWL TDOC LVGO Telemedicine healthcare USA ,positive
2020-12-29,Tue Dec 29thTodays WORST performing sector at the closeReal Estate 07follow along here realestate equitytrading business trading datavizWELL SBAC CCI EQIX AMT ARE DLR PLD PSA VTR ,negative
2020-12-29, 2 stocks actually  FOOD   WELL  growthstock,positive
2020-12-29,Home prices and pending sales grow active listings drop to alltime low EQR WELL TOL LGIH AVB ,negative
2020-12-29,EQR WELL TOL  Home prices and pending sales grow active listings drop to alltime low ,negative
2020-12-29,SHG should be on your radar Check the trajectories of WELL and DOC to see why,positive
2020-12-29,well CNBC talking about telehealth,positive
2020-12-29,Rose Above Previous Days High today AMH WELL CHCT DAL CTXS SPLV ACA SWKS OFC SRC MAA WMT USRT JBGS COR HIW PK PDM MSI BKR  ,positive
2020-12-29,MCI Onehealth Technologies files for 30M raise in IPO on TSXWELL  DOC DOCRF  NPTH  Ehealth DigitalHealth Telehealth,positive
2020-12-29,WELL GRN XBC BU SCR FANS MTRX KWE set to open higher,positive
2020-12-29,Stocks to watch Dec 29 thru Dec 31 gtLs pntg carr fox tex mor eva kmx itos weLL coLm spb fcx mo aLny kLic odp hfc wpm nni amp EH EHang the catalyst  ,positive
2020-12-29,Highest net debt in billions among reits realestate VNQ1  SIMON PROPERTY GROUP SPG 25432  AMERICAN TOWER CORPO AMT 23163  CROWN CASTLE INTERNA CCI 19064  PROLOGIS INC PLD 15645  WELLTOWER INC WELL 1302,negative
2020-12-29,If Dems win the Georgia Senate Runoff on Jan 5th 2021 does it cause a sector wide MJPotCannabis short squeeze  SPY AAPL GOOG FB AMZN TSLA NIO CGC WEED APHA ACB CRON TLRY OGI HEXO VFF CURA GTII MSOS CXXI MMED CYBN NUMI CMPS RIOT MARA DOC WELL ,negative
2020-12-28,Large Print WELL Size 2768340 Price 6297 Time 1830,positive
2020-12-28,Todays Top Sell Money Flow TSLA DHR WELL,positive
2020-12-28,Top Sell Flow Money  12282020  TSLA DHR WELL IWM NIO via Super Stocks App ,neutral
2020-12-28,Mondays Top Flow in SampP 500 SP500 Buy Flow amp Sell Flow UNH AMZN ADBE WLTW HON ZTS CVS TXN NEE PNC TSLA DHR WELL ISRG MSI PPG NOW AMD FB UPS stock stocks StockMarket Investment investing  ,positive
2020-12-28,Mondays Top Flow in StockMarket Buy Flow amp Sell Flow HYG UNH BABA XLF QQQ AMZN ADBE WLTW LQD HON TSLA DHR WELL IWM NIO ISRG IWF MSI MRNA PPG stock stocks Investment investing  ,negative
2020-12-28, Beauty well,positive
2020-12-28,XBC trading at equivalent 851 statesideWELL trading at equivalent 895 stateside,positive
2020-12-28,well 695 USD  893CDN ,positive
2020-12-27, Thank you very much You are correct the private players of Telus and Dialogue health are currently the bigger players that could steal market share however I like the niche that WELL is carving out for itself Itll be an interesting 2021,positive
2020-12-27,GSPE Confirmation Of Merger Discussions With Top US  Company As Early As Next Week APOpB AEXE TECK PCAR CIEN SRE STLD FOLD FHN PEG SNBR WELL BDN,positive
2020-12-27,  Keep up the great work well 2021 big year for well health,positive
2020-12-26,Recent WELL technical alerts Bollinger Band Squeeze plus 10 more alerts ,positive
2020-12-26,Watch Out These 2 Stocks Might Cut Their Dividends WELL  SPY,negative
2020-12-26,THC      If SHG SHGFF exits 2021 with a higher revenue run rate and more profitable than WELL  plus uplists to TSX or NAZ Then 2020 CEO of the year  from WLYYF will pass the title to Prad for 2021healthcare USA Telemedicine TeamPrad,positive
