Date,Text_clean,Sentiment
2020-12-31,Another  Review accusing  of setting low market prices with no recourse ZG say its only an estimate but truth is you now have to go to extraordinary lengths to prove they are wrong Time Z is Regulated with a DoNotZestimate OPT OUT NewYear Covid ,negative
2020-12-31,1 Summary of our public markets portfolio performance in 2020 UBER LYFT FB BMWYY DDAIF VWAGY URI CRH RDFN HRI CAT QS OPEN SBE DM LEE AHC LORL SNAP LAZ NUAN CARG MLHR Z GDRX Some commentary below investing investments markets ,negative
2020-12-31,App Economy Portfolio Dec2020 updateReturns from 2015 to 2020 388vs 82 for the SPYReturns in 2020 89vs 16 for the SampPBig winners this year CRWD ETSY PINS SQ TWLO TTD MELI SHOP Z MDBLink in bio to see portfolio and trades in real time ,positive
2020-12-31,Oversold FB UL TWLO CHWY Z TXG NICE AVLR GDDY PENN DB LEN RH RDFN PVH FOXF BAND NEM BCE TDOC NET WPM CAG FSLY QDEL FLO EBS PLMR SRSOverbought SO HII YELP UDR NRG VFHMomentum DFS SYF BBIO EIDX BG CQP ULTA ALGT,negative
2020-12-31,Most active stocks in todays afterhours tradingMGMApple AAPLNielsen NLSNLiberty FWONKMicrosoft MSFTWells WFCFidelity FNFPfizer PFEATampT TL Brands LBLumen LUMNZillow ZComcast CMCSAViacomCBS VIACGrubhub GRUBIntel INTCKroger KRFord FHFC,positive
2020-12-31,Final 2020 performance results in  It was a good yearOut of 278 trades 407 win rate 28 to 1 win loss ratioAs usual 95 of the trades wash and 5 deliver all of the returnThank you Ethereum Bitcoin IIVI TSLA REGI APPS Z and especially BLNK,positive
2020-12-31,Zillow Economist on what to expect from the real estate market in 2021 Z  SPY,positive
2020-12-31,OutsideYear 2020 continued SLV SO SONO SPLK SPWR SPX SPY SQ STZ TJX TPX TQQQ TSCO TSN TWLO TWTR UBER UNH UPS URI VXX W WDAY WDC WING WIX WORK WW WYNN XBI XLF XLI XLNX XLP XLU XLV XLY Z ZEN ZG ZS,negative
2020-12-31,Large Print Z Size 477001 Price 1298 Time 1600 Amount 6191472980,positive
2020-12-31,A  review says  Zestimate Tool undermines and sabotages any discounts you provide to potential buyers Your house valuation goes down with every discountreduction How is Z allowed to get away with this nonsense Trump COVID19 Biden2020 NewYearsEve ,negative
