Datetime,Tweet Id,Text,Username
2020-12-31 22:52:02+00:00,1344778366713552902,"$YUM! $IM $TWO $ADS $AGO
$EEP! $DATA $ARE $ALL
$BIT $TOO $FIT",stockbard
2020-12-31 19:18:22+00:00,1344724598852521984,"My 2020 biggest winners: $tsla $apps $nndm

My 2020 biggest losers: $ads $dss $ttwo

Portfolio performance: 318%

Thank you baby Jesus",MakinMoneeMoves
2020-12-31 18:08:26+00:00,1344706996679958528,$BTC $LTC $BCH $ETH $ETC $ZEN $XLM $XRP $ZEC $USDT $GAS $XRP $POWR $XLM $ICX $TRX $XVG $STRAT $FIL $OXT $LPT $LSK $OMG $DASH $ETHOS $VEN $ADS $ADX $RSR $DOGE $LEND $AMPL $MKR $UNI $DAI $LINK $IOTA $BNB $EOS $OMNI https://t.co/3baLOGxbtM,hntrt1
2020-12-31 18:08:16+00:00,1344706957597433858,$BTC $LTC $BCH $ETH $ETC $ZEN $XLM $XRP $ZEC $USDT $GAS $XRP $POWR $XLM $ICX $TRX $XVG $STRAT $FIL $OXT $LPT $LSK $OMG $DASH $ETHOS $VEN $ADS $ADX $RSR $DOGE $LEND $AMPL $MKR $UNI $DAI $LINK $IOTA $BNB $EOS $OMNI https://t.co/Smz0cv3EGK,hntrt1
2020-12-31 18:08:07+00:00,1344706920469450753,$BTC $LTC $BCH $ETH $ETC $ZEN $XLM $XRP $ZEC $USDT $GAS $XRP $POWR $XLM $ICX $TRX $XVG $STRAT $FIL $OXT $LPT $LSK $OMG $DASH $ETHOS $VEN $ADS $ADX $RSR $DOGE $LEND $AMPL $MKR $UNI $DAI $LINK $IOTA $BNB $EOS $OMNI https://t.co/Hd3BS1ugRJ,hntrt1
2020-12-31 18:07:49+00:00,1344706842967109637,Send hot spot pls              $BTC $LTC $BCH $ETH $ETC $ZEN $XLM $XRP $ZEC $USDT $GAS $XRP $POWR $XLM $ICX $TRX $XVG $STRAT $FIL $OXT $LPT $LSK $OMG $DASH $ETHOS $VEN $ADS $ADX $RSR $DOGE $LEND $AMPL $MKR $UNI $DAI $LINK $IOTA $BNB $EOS $OMNI https://t.co/SNcpyH0fuF,hntrt1
2020-12-31 16:52:17+00:00,1344687834251325440,"$BWA!
$HE $PAY $AT $ADS
$SWAY $ONE $ALLY $AT $A $FOE",stockbard
2020-12-31 15:46:03+00:00,1344671165940379648,Rose Above Previous Day's High today: $TGNA $ADNT $THW $NVG $SWIR $CEVA $TCPC $HERO $OTIS $PGX $ARKK $CMTL $AIKI $ADS $CRVL $WIT $PBFX $DRD $EMN $MOS ... https://t.co/TBYRpvrFqi,SwingTradeBot
2020-12-31 15:43:43+00:00,1344670580616945670,"9) In the 🇺🇸 market, $FISV issuer processing is focusing on extending reach of Optis with large issuers (recently won $ADS and 2 other top 25), while expanding in adjacent growth markets: processing installment/BNPL loans and commercial/B2B cards on the same platform https://t.co/Vqo6FzHsFN",BlueToothDDS
2020-12-31 13:53:15+00:00,1344642777808777217,"$CRY $FOR $KEYS
$FOR $ADS
$FLOW $ONE",stockbard
2020-12-31 11:21:44+00:00,1344604647349219328,"$ADS $ARE $FOR $MEN
$MMM! $I $AM $FOR $A $TIME
$EEP!",stockbard
2020-12-31 10:21:14+00:00,1344589424542232576,"$DATA $ARE $MR $KIM $TOO $FUN
$CRY $OUT $HUBS
$IT $DO $MS $ONE $AT $ADS",stockbard
2020-12-31 08:22:02+00:00,1344559426812997632,"$SEAS $ARE $TEN $ADS $AGO
$I $BORN $AFT
$DANG! $HE $ACE $FOR $A $SHOP",stockbard
